area_name,price,longtitude,latitude,area,tag_list,detail_url,flag
云山居,26389,113.303415,23.218302,白云,,https://gz.lianjia.com/xiaoqu/2110343238337239/,1
汇侨新城北区,24803,113.26402,23.206519,白云,,https://gz.lianjia.com/xiaoqu/2110343238861024/,1
汇侨新城南区,26916,113.264622,23.203667,白云,,https://gz.lianjia.com/xiaoqu/2110343238861023/,1
晓翠苑逸意居,29176,113.260629,23.188179,白云,,https://gz.lianjia.com/xiaoqu/2110343238598875/,1
广信金兰花园金兰街,31519,113.280213,23.185831,白云,近地铁2号线白云公园站,https://gz.lianjia.com/xiaoqu/2110343238336775/,1
保利西海岸汇海花园,34000,113.216337,23.178833,白云,近地铁6号线浔峰岗站,https://gz.lianjia.com/xiaoqu/2110343238861038/,1
祥景花园雍翠园,26478,113.276361,23.213404,白云,,https://gz.lianjia.com/xiaoqu/2110343238337513/,1
春庭花园B栋春兰阁,16680,113.301686,23.220739,白云,近地铁3号线北延段白云大道北站,https://gz.lianjia.com/xiaoqu/2110343238861802/,1
汇侨新城东区,18314,113.2675,23.203347,白云,,https://gz.lianjia.com/xiaoqu/2110343238861025/,1
春庭花园A栋春愉阁,18216,113.300842,23.221042,白云,近地铁3号线北延段白云大道北站,https://gz.lianjia.com/xiaoqu/2110343238861803/,1
恒骏花园香柏广场,48475,113.331775,23.189029,白云,近地铁3号线北延段京溪南方医院站,https://gz.lianjia.com/xiaoqu/2110343238861256/,1
白云高尔夫花园荷塘月色,38558,113.275832,23.204157,白云,近地铁2号线萧岗站,https://gz.lianjia.com/xiaoqu/2110343238337450/,1
云山诗意琴韵居,38816,113.296337,23.224306,白云,近地铁2号线黄边站,https://gz.lianjia.com/xiaoqu/2110343238599303/,1
白云高尔夫花园东区,33951,113.277754,23.2092,白云,,https://gz.lianjia.com/xiaoqu/2110343238598985/,1
广园云苑新村云苑北街,17452,113.27788,23.172761,白云,,https://gz.lianjia.com/xiaoqu/2110343238337414/,1
春庭花园C栋春晓阁,15956,113.301304,23.22029,白云,近地铁3号线北延段白云大道北站,https://gz.lianjia.com/xiaoqu/2110343238861805/,1
新兴白云花园乐居大街,22795,113.295802,23.221233,白云,近地铁3号线北延段白云大道北站,https://gz.lianjia.com/xiaoqu/2110343238599654/,1
云景花园云桦苑,43626,113.3382,23.190329,白云,近地铁3号线北延段京溪南方医院站,https://gz.lianjia.com/xiaoqu/2110343238337428/,1
云景花园云景名都,47770,113.33495,23.188939,白云,近地铁3号线北延段京溪南方医院站,https://gz.lianjia.com/xiaoqu/2110343238860877/,1
