万科新里程,31909,113.453824,23.193225,https://gz.lianjia.com/xiaoqu/2116932662161006/,近地铁6号线金峰站,1,黄埔
万科东荟城,21250,113.510982,23.163885,https://gz.lianjia.com/xiaoqu/2110115187486483/,,1,黄埔
龙光峰景华庭,27427,113.456464,23.194766,https://gz.lianjia.com/xiaoqu/2114391923454549/,,1,黄埔
怡港花园怡丰楼,27741,113.46138,23.105672,https://gz.lianjia.com/xiaoqu/2110343238861062/,近地铁5号线大沙东站,1,黄埔
泰景花园东城华庭,30503,113.460324,23.116645,https://gz.lianjia.com/xiaoqu/2110343238861584/,近地铁5号线大沙东站,1,黄埔
悦时代花园心悦湾,35468,113.474193,23.110033,https://gz.lianjia.com/xiaoqu/2110343239123141/,近地铁5号线文冲站,1,黄埔
泰景花园文雅阁,30578,113.461429,23.115976,https://gz.lianjia.com/xiaoqu/2110343238599055/,近地铁5号线大沙东站,1,黄埔
银丰花园银丰二街,22132,113.461632,23.11499,https://gz.lianjia.com/xiaoqu/2110343238598664/,近地铁5号线大沙东站,1,黄埔
怡港花园怡康楼,37748,113.459103,23.105693,https://gz.lianjia.com/xiaoqu/2110343238861055/,近地铁5号线大沙地站,1,黄埔
黄埔新村黄埔雅苑,35048,113.467182,23.107624,https://gz.lianjia.com/xiaoqu/2110343238861053/,近地铁5号线大沙东站,1,黄埔
新安苑68号,23997,113.466093,23.110734,https://gz.lianjia.com/xiaoqu/2110343238337093/,近地铁5号线大沙东站,1,黄埔
怡港花园怡欣楼,37998,113.46125,23.106225,https://gz.lianjia.com/xiaoqu/2110343238861057/,近地铁5号线大沙地站,1,黄埔
中海誉城北苑,24513,113.531724,23.169459,https://gz.lianjia.com/xiaoqu/2110111597161952/,,1,黄埔
银丰花园银丰一街,24511,113.462266,23.114233,https://gz.lianjia.com/xiaoqu/2110343238598663/,近地铁5号线大沙东站,1,黄埔
怡港花园怡晖楼,32777,113.460145,23.104979,https://gz.lianjia.com/xiaoqu/2110343238861060/,近地铁5号线大沙地站,1,黄埔
天虹花园阳光雅筑,29143,113.437374,23.115986,https://gz.lianjia.com/xiaoqu/2110343238598994/,近地铁5号线鱼珠站,1,黄埔
怡港花园怡乐楼,26582,113.461901,23.105153,https://gz.lianjia.com/xiaoqu/2110343238861061/,,1,黄埔
怡港花园怡海楼,45387,113.459943,23.104372,https://gz.lianjia.com/xiaoqu/2110343238861054/,近地铁5号线大沙地站,1,黄埔
雅居乐富春山居,33667,113.436764,23.190834,https://gz.lianjia.com/xiaoqu/2111793062704023/,近地铁6号线黄陂站,1,黄埔
荔园小区荔香二街,24285,113.452317,23.104187,https://gz.lianjia.com/xiaoqu/2110343238599606/,近地铁5号线大沙地站,1,黄埔
怡港花园怡安楼,37420,113.459853,23.105469,https://gz.lianjia.com/xiaoqu/2110343238861059/,近地铁5号线大沙地站,1,黄埔
万科金色梦想,19849,113.535973,23.170896,https://gz.lianjia.com/xiaoqu/2110115377016126/,,1,黄埔
中鼎君和名城,24095,113.46259,23.112334,https://gz.lianjia.com/xiaoqu/2110110822526380/,近地铁5号线大沙东站,1,黄埔
丰乐小区91号大院,24045,113.460621,23.11052,https://gz.lianjia.com/xiaoqu/2110343238861582/,近地铁5号线大沙东站,1,黄埔
东苑小区东苑东街,31515,113.45253,23.115167,https://gz.lianjia.com/xiaoqu/2110343238861607/,近地铁5号线大沙地站,1,黄埔
荔园小区荔香一街,29050,113.451491,23.104395,https://gz.lianjia.com/xiaoqu/2110343238599604/,近地铁5号线大沙地站,1,黄埔
祥辉广场,19361,113.486696,23.099453,https://gz.lianjia.com/xiaoqu/219162127585783/,,1,黄埔
怡港花园怡趣楼,39111,113.459336,23.106179,https://gz.lianjia.com/xiaoqu/2110343238861056/,近地铁5号线大沙地站,1,黄埔
新安苑66号,22082,113.465164,23.111341,https://gz.lianjia.com/xiaoqu/2110343238861461/,近地铁5号线大沙东站,1,黄埔
怡港花园怡雅楼,26924,113.460594,23.105664,https://gz.lianjia.com/xiaoqu/2110343238861058/,近地铁5号线大沙地站,1,黄埔
泰景花园大沙北路,31032,113.463764,23.115419,https://gz.lianjia.com/xiaoqu/2110343238861768/,近地铁5号线大沙东站,1,黄埔
泰景花园文苑阁,32016,113.461162,23.115412,https://gz.lianjia.com/xiaoqu/2110343238861767/,近地铁5号线大沙东站,1,黄埔
文船生活区东区,23036,113.483331,23.101754,https://gz.lianjia.com/xiaoqu/2110343238861252/,近地铁5号线文冲站,1,黄埔
荔园小区荔香路,26338,113.450993,23.104283,https://gz.lianjia.com/xiaoqu/2110343238599605/,近地铁5号线大沙地站,1,黄埔
科城山庄,33162,113.490977,23.190721,https://gz.lianjia.com/xiaoqu/2111273672600588/,,1,黄埔
保利林语山庄6区,31889,113.460551,23.188171,https://gz.lianjia.com/xiaoqu/2114466099481831/,近地铁6号线金峰站,1,黄埔
丰乐小区111号大院,26051,113.460257,23.11121,https://gz.lianjia.com/xiaoqu/2110343238337296/,近地铁5号线大沙东站,1,黄埔
锦林山庄,29352,113.469121,23.179604,https://gz.lianjia.com/xiaoqu/2113333184393729/,近地铁6号线暹岗站,1,黄埔
丰乐小区77号大院,25718,113.461182,23.109166,https://gz.lianjia.com/xiaoqu/2110343238861583/,近地铁5号线大沙东站,1,黄埔
保利香雪山花园,33071,113.481725,23.181784,https://gz.lianjia.com/xiaoqu/2112360075194890/,近地铁6号线萝岗站,1,黄埔
越秀岭南山畔,26013,113.458942,23.184829,https://gz.lianjia.com/xiaoqu/2112879939513349/,近地铁6号线金峰站,1,黄埔
万科城,27042,113.457208,23.189998,https://gz.lianjia.com/xiaoqu/2111771768222706/,近地铁6号线金峰站,1,黄埔
宏康花园五期宏康东筑,19112,113.554572,23.11235,https://gz.lianjia.com/xiaoqu/2110683329818631/,,1,黄埔
泰景花园泰景中街,31290,113.460625,23.116118,https://gz.lianjia.com/xiaoqu/2110343238599056/,近地铁5号线大沙东站,1,黄埔
泰景花园文轩阁,31128,113.462797,23.115267,https://gz.lianjia.com/xiaoqu/2110343238861766/,近地铁5号线大沙东站,1,黄埔
文船生活区西区,20851,113.480736,23.103246,https://gz.lianjia.com/xiaoqu/2110343238861251/,近地铁5号线文冲站,1,黄埔
泰景花园文浩阁,31474,113.460288,23.11682,https://gz.lianjia.com/xiaoqu/2110343238599054/,近地铁5号线大沙东站,1,黄埔
文船生活区新东区,18571,113.487009,23.103147,https://gz.lianjia.com/xiaoqu/2110343238861253/,,1,黄埔
泰景花园文荟阁,31365,113.462457,23.115772,https://gz.lianjia.com/xiaoqu/2110343238599057/,近地铁5号线大沙东站,1,黄埔
黄埔新村一期,25617,113.467504,23.107252,https://gz.lianjia.com/xiaoqu/2110343238336546/,近地铁5号线大沙东站,1,黄埔
保利越秀岭南林语,28630,113.508369,23.220582,https://gz.lianjia.com/xiaoqu/2113333506569111/,,1,黄埔
万科幸福誉,17360,113.546402,23.337725,https://gz.lianjia.com/xiaoqu/2113333184394102/,,1,黄埔
新福港鼎峰,32594,113.49199,23.185058,https://gz.lianjia.com/xiaoqu/2113786360065529/,近地铁6号线萝岗站,1,黄埔
