"clear_link","title","houseInfo","houseInfo_link","houseInfo_1","positionInfo","positionInfo_link","positionInfo_1","followInfo","subway","totalPrice","totalPrice_1","unitPrice"
"https://gz.lianjia.com/ershoufang/GZ0003030524.html","郎晴居二期 高层南向望江 全景无遮挡","朗晴居二期    3室2厅   96.61平米   南   其他   有电梯","https://gz.lianjia.com/xiaoqu/2110343238336809/","朗晴居二期","高楼层(共32层)2000年建塔楼  -  滨江中","https://gz.lianjia.com/ershoufang/binjiangzhong/","滨江中","36人关注 / 共20次带看 / 26天以前发布","距离2号线市二宫站901米","530万","530","单价54860元/平米"
"https://gz.lianjia.com/ershoufang/GZ0003095781.html","东华花园 南向3房单位 装修保养好","东华花园    3室2厅   90.61平米   南   其他   无电梯","https://gz.lianjia.com/xiaoqu/2111103317784/","东华花园","高楼层(共6层)2004年建板楼  -  市桥","https://gz.lianjia.com/ershoufang/shiqiao1/","市桥","39人关注 / 共22次带看 / 7天以前发布","房本满五年","216万","216","单价23839元/平米"
"https://gz.lianjia.com/ershoufang/GZ0003039386.html","侨源山庄 电梯三房两卫 环境优美舒适","侨源山庄雅侨楼    3室2厅   86.7平米   东   简装   有电梯","https://gz.lianjia.com/xiaoqu/2110343238599319/","侨源山庄雅侨楼","高楼层(共9层)1998年建塔楼  -  粤垦","https://gz.lianjia.com/ershoufang/yueken/","粤垦","8人关注 / 共13次带看 / 24天以前发布","距离6号线燕塘站917米","330万","330","单价38063元/平米"
"https://gz.lianjia.com/ershoufang/GZ0003039466.html","华南碧桂园 翠云山 六米阳光","华南碧桂园翠云山    3室2厅   110平米   北   精装   有电梯","https://gz.lianjia.com/xiaoqu/2110343238336866/","华南碧桂园翠云山","低楼层(共18层)2001年建塔楼  -  华南","https://gz.lianjia.com/ershoufang/huanan1/","华南","12人关注 / 共25次带看 / 31天以前发布","房本满五年","328万","328","单价29819元/平米"
"https://gz.lianjia.com/ershoufang/GZ0002550957.html","珠江帝景苑克莱公寓 高层五房 业主诚心售","珠江帝景苑克莱国际公寓灏景轩    5室3厅   238平米   西   精装   有电梯","https://gz.lianjia.com/xiaoqu/2110343238861344/","珠江帝景苑克莱国际公寓灏景轩","高楼层(共32层)2007年建塔楼  -  赤岗","https://gz.lianjia.com/ershoufang/chigang/","赤岗","166人关注 / 共140次带看 / 一年前发布","距离3号线广州塔站801米","1500万","1500","单价63026元/平米"
"https://gz.lianjia.com/ershoufang/GZ0002716501.html","一尺山居高层三房 过五年住房","广州雅居乐花园一尺山居    3室2厅   100平米   西南   精装   有电梯","https://gz.lianjia.com/xiaoqu/2110343238861405/","广州雅居乐花园一尺山居","高楼层(共23层)2010年建塔楼  -  华南","https://gz.lianjia.com/ershoufang/huanan1/","华南","223人关注 / 共157次带看 / 一年前发布","房本满五年","370万","370","单价37000元/平米"
"https://gz.lianjia.com/ershoufang/GZ0002839515.html","芳草园 精装三房 大型花园小区 安静","芳草园A区    3室2厅   117.05平米   北   简装   有电梯","https://gz.lianjia.com/xiaoqu/2110343238337003/","芳草园A区","高楼层(共30层)2004年建塔楼  -  天河北","https://gz.lianjia.com/ershoufang/tianhebei/","天河北","40人关注 / 共39次带看 / 2个月以前发布","距离3号线华师站899米","850万","850","单价72619元/平米"
"https://gz.lianjia.com/ershoufang/GZ0002235949.html","南向 三房 全新装修 即买即住","方圆月岛    3室2厅   133平米   南   精装   有电梯","https://gz.lianjia.com/xiaoqu/2111103318219/","方圆月岛","低楼层(共46层)2009年建塔楼  -  珠江新城中","https://gz.lianjia.com/ershoufang/zhujiangxinchengzhong/","珠江新城中","252人关注 / 共358次带看 / 一年前发布","距离apm线花城大道站692米","1236.9万","1236.9","单价93000元/平米"
"https://gz.lianjia.com/ershoufang/GZ0003095984.html","小北下塘西路 靠山望林 双阳台三房隔局","下塘西路    3室1厅   93平米   西南   简装   无电梯","https://gz.lianjia.com/xiaoqu/2111103831612/","下塘西路","高楼层(共9层)塔楼  -  麓景","https://gz.lianjia.com/ershoufang/lujing/","麓景","15人关注 / 共6次带看 / 6天以前发布","房本满五年","248万","248","单价26667元/平米"
"https://gz.lianjia.com/ershoufang/GZ0003050869.html","华南碧桂园碧翠苑南向大两房靠会所100米","华南碧桂园碧翠苑    2室2厅   80平米   南   简装   无电梯","https://gz.lianjia.com/xiaoqu/2110343238599485/","华南碧桂园碧翠苑","中楼层(共7层)2001年建塔楼  -  华南","https://gz.lianjia.com/ershoufang/huanan1/","华南","34人关注 / 共23次带看 / 21天以前发布","房本满五年","238万","238","单价29750元/平米"
